golden_id,dyad_id,target_tweet_id,target_text,prior_context,subsequent_customer_context,rule_hint,human_intent,human_secondary_intent,human_confidence,human_notes,taxonomy_issue,adjudication_status
G001,VT-2418517-694902,2418519,"@VirginTrains think I’ve possibly lost property at Preston Station, Lancs &amp; phone number I was given doesn’t work. Any idea who can help?",,[C Sun Oct 29 11:44:28 +0000 2017] @VirginTrains I called them and they gave me a lost property number that doesn’t work😕 - an 01707 number. Do you have a direct number for Preston station?,lost_property,lost_property,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G002,VT-2671208-752207,2671210,"@Virgintrains 
3.33pm Chester-Euston . You terminated it at Milton keynes! I left my coat and you wouldn't let me back on to retrieve it!",,[C Tue Oct 31 16:45:24 +0000 2017] @VirginTrains I'm really sorry that Virgin Trains seem unable to help me...I hit a dead end with every point of contact that have tried. INFURIATING!,cancellation_status;lost_property,lost_property,cancellation_status,high,[ADJUDICATED] Termination is background; actionable ask is coat retrieval.,none,adjudicated
G003,VT-1454983-457702,1454985,@VirginTrains I left a bag on a train! The Manchester to Euston one that arrived at 14.40. What do I do?!,,[C Thu Nov 02 15:01:40 +0000 2017] @VirginTrains Thanks!!,lost_property,lost_property,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G004,VT-2734521-120648,2734524,@VirginTrains can let you me know the onward journeys for the 15.03 Euston-Birmingham? I will check all terminating lost property offices.,,"[C Tue Oct 31 18:17:31 +0000 2017] @VirginTrains After Euston could it have done anything eked, or just backwards and forwards on this line? || [C Tue Oct 31 18:18:14 +0000 2017] @VirginTrains Thanks for response on this. Still perplexed that no one could contact train staff :(",cancellation_status;lost_property,rebooking_alternative_route,,medium,[ADJUDICATED] Garbled target; onward-journeys ask is the only actionable need.,unclear_example,adjudicated
G005,VT-581675-244203,581677,"@VirginTrains hi there. I bought an m ticket for today, but I lost my phone last night. What can i do about this?",,[C Sun Dec 03 12:49:09 +0000 2017] @VirginTrains I don't have another device. I only have my laptop.,lost_property,booking_ticket_issue,lost_property,high,[ADJUDICATED] Lost phone blocks m-ticket access; ticket solution is the ask.,none,adjudicated
G006,VT-2689102-756065,2689104,"@VirginTrains hi. I had to swap trains to Glasgow in Lancaster due to delay. Left my new blue scarf in overhead near luggage coach b. (15:53 Preston train) Heading to Glasgow 5 mins behind, can someone grab it for me please. Was a gift!",,[C Sun Nov 19 15:38:56 +0000 2017] @VirginTrains Fab. It’s above the luggage rack at coach b. (Closest to lower numbers) it’s a lighter blue thick wool scarf. The train left Preston at 15:53 heading to Glasgow central. I’m on the one behind (14:41 to GCC) had to swap as my train was slightly delayed. || [C Sun Nov 19 15:47:37 +0000 2017] @VirginTrains Lol. Yup apologies. :) || [C Sun Nov 19 15:52:19 +0000 2017] @VirginTrains You’re superstars! Much appreciated || [C Sun Nov 19 16:36:54 +0000 2017] @VirginTrains Awwww this is fantastic!! Yep it’s an H&amp;M scarf. Thank you so much for all your efforts really appreciated xx,delay_status;booking_ticket_issue;lost_property,lost_property,delay_status,high,[ADJUDICATED] Delay is background; ask is retrieving the scarf.,none,adjudicated
G007,VT-2384202-687227,2384204,@VirginTrains Left my red Cath Kidston bag above seat B50 on the 10am Euston to Manc Pic yesterday. 🙁Have you found it?,,[C Fri Oct 20 08:31:36 +0000 2017] @VirginTrains Yes I have 🙁 any luck? Thanks!,lost_property,lost_property,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G008,VT-1490888-466239,1490891,"@VirginTrains hey. I think I've left my phone charger on the train. I was on the 1543 from London to Glasgow, sat in J23",,[C Mon Oct 16 22:04:28 +0000 2017] @VirginTrains Thanks. I'll phone up in the morning when everyone has had a sleep :),lost_property,lost_property,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G009,VT-532936-243276,532939,"@VirginTrains I've been trying to contact PAX for 2 months now re lost luggage, but no one answers or returns my voicemail... Does this company even exist?!",,[C Sat Dec 02 11:15:50 +0000 2017] @VirginTrains 03331031031 - 01707373734 - 0344 8110133 - 02073878699 - 02073878699 .... all on multiple occasions! It's been a long process...!!! || [C Sat Dec 02 12:31:37 +0000 2017] @VirginTrains Can you advise of an alternative to 01707373734 please?,booking_ticket_issue;lost_property,lost_property,,medium,[ADJUDICATED] Chasing unanswered lost-luggage contact; complaint tone.,none,adjudicated
G010,VT-507892-234753,507894,@VirginTrains I have left a brown Zara bag on the 18:50 train to London Euston containing a coat. Please help me find it? I have called lost property but isn't open until monday,,[C Sat Dec 02 13:32:32 +0000 2017] @VirginTrains Thank you!!,lost_property,lost_property,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
